src_ip,dst_ip,length,protocol,src_port,dst_port,flags,timestamp
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:18
192.168.31.136,34.149.100.209,100,6,34432,443,PA,2025-05-17 13:30:18
34.149.100.209,192.168.31.136,166,6,443,34432,PA,2025-05-17 13:30:18
192.168.31.136,34.149.100.209,100,6,34432,443,PA,2025-05-17 13:30:18
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:18
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:18
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:18
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:18
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:18
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:18
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:18
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:18
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:18
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:18
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:19
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:19
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:20
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:20
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:20
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:20
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:20
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:20
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:20
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:20
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:20
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:20
192.168.31.136,34.139.124.58,153,6,53528,443,PA,2025-05-17 13:30:20
192.168.31.136,34.139.124.58,153,6,53528,443,PA,2025-05-17 13:30:20
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:20
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:20
192.168.31.136,34.139.124.58,153,6,53528,443,PA,2025-05-17 13:30:20
192.168.31.136,34.139.124.58,153,6,53528,443,PA,2025-05-17 13:30:21
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:21
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:21
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:21
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:21
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:21
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:21
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:21
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:21
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:21
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:21
192.168.31.136,34.139.124.58,54,6,53528,443,A,2025-05-17 13:30:21
34.139.124.58,192.168.31.136,425,6,443,53528,PA,2025-05-17 13:30:21
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:22
192.168.31.136,34.139.124.58,54,6,53528,443,A,2025-05-17 13:30:22
192.168.31.136,34.139.124.58,1659,6,53528,443,PA,2025-05-17 13:30:22
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:22
192.168.31.136,34.139.124.58,1659,6,53528,443,PA,2025-05-17 13:30:22
34.139.124.58,192.168.31.136,425,6,443,53528,PA,2025-05-17 13:30:22
192.168.31.136,34.139.124.58,158,6,53528,443,PA,2025-05-17 13:30:22
192.168.31.136,34.139.124.58,158,6,53528,443,PA,2025-05-17 13:30:22
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:22
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:22
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:22
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:22
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:22
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:22
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:23
192.168.31.136,34.139.124.58,369,6,53528,443,PA,2025-05-17 13:30:23
34.139.124.58,192.168.31.136,60,6,443,53528,A,2025-05-17 13:30:23
192.168.31.136,34.139.124.58,369,6,53528,443,PA,2025-05-17 13:30:23
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:23
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:23
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:23
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:23
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:23
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:23
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:23
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:23
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:23
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:23
192.168.31.136,34.149.100.209,182,6,34432,443,PA,2025-05-17 13:30:23
192.168.31.136,34.149.100.209,182,6,34432,443,PA,2025-05-17 13:30:23
192.168.31.136,34.149.100.209,96,6,34432,443,PA,2025-05-17 13:30:23
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:24
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:24
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:24
